TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,33,2024/2/14 8:13:47,67.4079,85.7739,66.6474,121.3947,139.2147,122.5373,97.1021,82.2435,56.9734,19.4669,0.0000,0.0000,0.0000,858.7618,38.6988,47.5658,37.8515,36.5174,1.9852,1.2000,1.4,Inlet flow error; Charger flow error; 
1,34,2024/2/14 8:14:47,82.5027,87.6453,58.0760,126.6842,143.2129,118.0646,89.7643,83.6518,64.7786,25.1184,0.0000,0.0000,0.0000,879.4989,38.2637,48.1694,37.7010,36.5174,2.0339,1.2000,1.4,Inlet flow error; Charger flow error; 
1,35,2024/2/14 8:15:47,66.5696,95.2222,73.8456,126.8082,140.2346,114.6809,79.7472,61.8511,47.6212,25.2174,0.5709,0.0000,0.0000,832.3686,36.0344,45.6097,35.9322,36.5174,1.9881,1.2000,1.4,Inlet flow error; Charger flow error; 
1,36,2024/2/14 8:16:47,52.4119,75.8777,58.3425,112.5009,136.0716,118.5297,81.8511,54.7384,37.7731,20.9967,2.9239,0.0000,0.0000,752.0174,37.9712,46.6009,37.2743,36.5174,1.9481,1.2000,1.4,Inlet flow error; Charger flow error; 
1,37,2024/2/14 8:17:47,59.9557,86.8608,60.0191,74.5238,94.1877,96.9270,80.8452,52.9690,23.6049,2.9941,0.0000,0.0000,2.8380,635.7253,36.0807,43.2937,34.1917,48.6968,1.9749,1.2000,1.4,Inlet flow error; Charger flow error; 
1,38,2024/2/14 8:18:47,57.1394,73.8340,41.1653,77.1187,104.9762,104.3972,81.2572,52.9450,22.7595,0.0000,0.0000,0.0000,0.0000,615.5924,37.8932,42.4973,34.9681,36.5174,1.9030,1.2000,1.4,Inlet flow error; Charger flow error; 
1,39,2024/2/14 8:19:47,49.5845,87.4251,68.5394,80.6977,80.7853,79.9015,85.3837,90.8504,69.8267,24.5119,0.0000,0.0000,0.0000,717.5062,41.5150,52.4418,40.3161,86.5964,2.1084,1.2000,1.4,Inlet flow error; Charger flow error; 
1,40,2024/2/14 8:20:47,73.1947,86.3259,52.9699,100.8843,115.2255,95.9246,69.9895,58.9905,45.4426,18.8763,0.0000,0.0000,0.0000,717.8238,36.1622,45.5707,35.5131,36.5174,2.0326,1.2000,1.4,Inlet flow error; Charger flow error; 
1,41,2024/2/14 8:21:47,31.2749,62.3161,69.3935,90.9543,102.7677,98.1819,82.0164,60.4808,37.4265,16.7356,1.9564,0.0000,0.0000,653.5041,39.5010,48.4078,38.9597,36.5174,1.9383,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,42,2024/2/14 8:22:47,45.1976,68.4139,51.0441,74.5857,97.0748,97.8107,79.2723,54.6889,36.9480,27.9257,21.9851,15.3131,7.1676,677.4274,42.9554,63.1068,44.0536,48.6968,2.2753,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,43,2024/2/14 8:23:47,42.2448,67.0850,55.9089,87.8564,91.7793,83.1732,81.9887,92.9928,88.5275,54.1735,6.6348,0.0000,0.0000,752.3648,47.9561,60.8501,46.3101,86.5964,2.1523,1.2000,1.4,Inlet flow error; Charger flow error; 
1,44,2024/2/14 8:24:47,37.6414,67.2427,73.0794,107.8011,104.6223,89.0796,86.3446,99.2577,93.3398,54.7002,4.2473,0.0000,0.0000,817.3559,45.5250,59.1640,45.5176,27.3842,2.1056,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,45,2024/2/14 8:25:47,44.0052,72.6302,54.2124,71.9566,91.3491,99.5702,96.9334,87.0334,73.3014,51.3953,23.0763,0.3938,0.0000,765.8573,49.5681,62.6125,47.0026,48.6968,2.1832,1.2000,1.4,Inlet flow error; Charger flow error; 
1,46,2024/2/14 8:26:47,50.5419,77.9567,62.3480,85.2720,104.6360,109.9179,105.4238,95.6439,81.4186,57.3037,26.4262,3.6634,2.5169,863.0691,49.1720,64.0471,47.3382,48.6968,2.2115,1.2000,1.4,Inlet flow error; Charger flow error; 
1,47,2024/2/14 8:27:47,31.0343,66.1732,82.1379,112.7527,116.6386,107.8631,103.3736,105.3531,96.4168,64.4991,20.3011,0.0000,0.0000,906.5434,48.4743,62.5840,47.9970,36.5174,2.1061,1.2000,1.4,Inlet flow error; Charger flow error; 
1,48,2024/2/14 8:28:47,25.9622,72.8459,82.5711,106.7087,103.3521,88.8371,82.5583,91.1407,97.0715,82.8231,51.2186,18.6955,3.3845,907.1693,52.5477,75.2124,53.4514,27.3842,2.3203,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,49,2024/2/14 8:29:47,39.5784,75.5094,73.4925,111.8156,109.5077,99.8832,107.8238,132.6184,121.6282,73.5559,23.7709,0.0000,7.3528,976.5368,53.7560,68.0763,50.8822,86.5964,2.1916,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,50,2024/2/14 8:30:47,34.1401,84.3190,85.5452,112.4576,124.1282,117.8543,106.2258,101.4273,105.6289,100.8920,76.3866,43.4366,21.1796,1113.6212,56.6205,85.7849,58.4552,36.5174,2.4390,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,51,2024/2/14 8:31:47,43.0540,90.8143,91.2882,120.7977,119.0503,101.5322,94.0228,106.7109,123.1885,111.5917,68.4275,22.6480,8.2118,1101.3381,54.5966,78.4307,54.7146,115.4782,2.3924,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,52,2024/2/14 8:32:47,38.4605,80.9632,89.9877,137.4767,138.8482,115.2833,102.0475,116.6619,137.1684,126.0750,79.1352,27.9541,10.7978,1200.8594,56.7447,81.4586,57.4578,36.5174,2.3605,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,53,2024/2/14 8:33:47,41.9324,89.5456,96.7374,133.3875,150.4172,138.3912,113.9524,95.8091,98.9484,94.6156,64.8218,28.6008,15.5844,1162.7438,49.7283,75.9083,52.5863,36.5174,2.3521,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,54,2024/2/14 8:34:47,41.1710,108.0554,110.1782,129.7162,142.0993,141.6395,133.1077,122.2152,110.4854,98.6958,82.6390,65.4398,51.8804,1337.3229,56.3963,90.5245,59.1384,36.5174,2.5344,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,55,2024/2/14 8:35:47,28.4698,96.6396,108.2497,143.1056,152.7593,144.6340,134.9954,133.4898,134.4392,112.1349,62.5766,17.5932,12.6775,1281.7647,53.5776,74.8941,54.0976,36.5174,2.2593,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
